节点ID,节点类型,节点标签,节点颜色
JOB_001,Job,具身智能算法工程师,#FF9999
强化学习,Skill,强化学习,#99CCFF
PyTorch,Skill,PyTorch,#99CCFF
ROS,Skill,ROS,#99CCFF
智能硬件,Industry,智能硬件,#99FF99
硕士及以上,Degree,硕士及以上,#FFFF99
JOB_002,Job,机器学习工程师,#FF9999
机器学习,Skill,机器学习,#99CCFF
Python,Skill,Python,#99CCFF
TensorFlow,Skill,TensorFlow,#99CCFF
互联网,Industry,互联网,#99FF99
本科及以上,Degree,本科及以上,#FFFF99
JOB_003,Job,数据科学家,#FF9999
数据分析,Skill,数据分析,#99CCFF
统计学,Skill,统计学,#99CCFF
金融科技,Industry,金融科技,#99FF99
JOB_004,Job,AI研究员,#FF9999
深度学习,Skill,深度学习,#99CCFF
算法研究,Skill,算法研究,#99CCFF
论文发表,Skill,论文发表,#99CCFF
科研机构,Industry,科研机构,#99FF99
博士,Degree,博士,#FFFF99
JOB_005,Job,深度学习工程师,#FF9999
模型优化,Skill,模型优化,#99CCFF
人工智能,Industry,人工智能,#99FF99
JOB_006,Job,计算机视觉工程师,#FF9999
计算机视觉,Skill,计算机视觉,#99CCFF
OpenCV,Skill,OpenCV,#99CCFF
目标检测,Skill,目标检测,#99CCFF
智能安防,Industry,智能安防,#99FF99
JOB_007,Job,自然语言处理工程师,#FF9999
NLP,Skill,NLP,#99CCFF
Transformer,Skill,Transformer,#99CCFF
文本分类,Skill,文本分类,#99CCFF
JOB_008,Job,强化学习工程师,#FF9999
Gym,Skill,Gym,#99CCFF
策略优化,Skill,策略优化,#99CCFF
游戏科技,Industry,游戏科技,#99FF99
JOB_009,Job,机器人工程师,#FF9999
机器人,Skill,机器人,#99CCFF
运动控制,Skill,运动控制,#99CCFF
智能制造,Industry,智能制造,#99FF99
JOB_010,Job,AI产品经理,#FF9999
产品管理,Skill,产品管理,#99CCFF
AI应用,Skill,AI应用,#99CCFF
用户体验,Skill,用户体验,#99CCFF
JOB_011,Job,自然语言处理算法工程师,#FF9999
BERT,Skill,BERT,#99CCFF
JOB_012,Job,计算机视觉算法工程师,#FF9999
图像分割,Skill,图像分割,#99CCFF
安防/自动驾驶,Industry,安防/自动驾驶,#99FF99
JOB_013,Job,语音识别算法工程师,#FF9999
Kaldi,Skill,Kaldi,#99CCFF
WeNet,Skill,WeNet,#99CCFF
端到端,Skill,端到端,#99CCFF
智能语音,Industry,智能语音,#99FF99
JOB_014,Job,推荐算法工程师,#FF9999
协同过滤,Skill,协同过滤,#99CCFF
DeepFM,Skill,DeepFM,#99CCFF
多目标优化,Skill,多目标优化,#99CCFF
电商/内容平台,Industry,电商/内容平台,#99FF99
JOB_015,Job,搜索算法工程师,#FF9999
倒排索引,Skill,倒排索引,#99CCFF
语义检索,Skill,语义检索,#99CCFF
排序学习,Skill,排序学习,#99CCFF
JOB_016,Job,广告算法工程师,#FF9999
CTR预估,Skill,CTR预估,#99CCFF
出价策略,Skill,出价策略,#99CCFF
实时竞价,Skill,实时竞价,#99CCFF
广告技术,Industry,广告技术,#99FF99
JOB_017,Job,多模态算法工程师,#FF9999
CLIP,Skill,CLIP,#99CCFF
多模态融合,Skill,多模态融合,#99CCFF
跨模态检索,Skill,跨模态检索,#99CCFF
